id,japanese,reading,english,status,encountered,explained,revisions,last_review,next_review,tags,notes
p_eki_doko,駅はどこですか,えきはどこですか,Where is the station?,review,2026-08-25,1,2,2026-08-25,2026-08-28,travel;questions,"Understood and produced during placement, then retrieved correctly again in Lesson 001. は as topic marker was explicitly explained in Lesson 001."
p_chikaku_konbini,近くにコンビニがありますか,ちかくにコンビニがありますか,Is there a convenience store nearby?,learning,2026-08-25,1,2,2026-08-27,2026-08-30,travel;shopping;locations,"Introduced and explained in Lesson 002. Lesson 003 due review omitted あ in あります and final か. Lesson 004 due review produced the full phrase correctly without support."
p_nanji_ikimasu,何時に行きますか,なんじにいきますか,What time will you go?,learning,2026-08-26,1,2,2026-08-26,2026-08-29,time;travel;questions,Introduced in Lesson 003. First production omitted に (何時行きますか); later retrieved correctly in 明日、何時に駅に行きますか and final mastery 明日、何時に行きますか.
p_osaka_arrival,11月13日の午後五時半に大阪に着きます,じゅういちがつじゅうさんにちのごごごじはんにおおさかにつきます,I will arrive in Osaka at 5:30 PM on November 13.,new,2026-08-26,1,0,,,extracurricular;travel;itinerary,"Built and corrected during ad hoc trip-planning after Lesson 003. Useful real-world message, but intentionally excluded from the main review schedule until explicitly integrated."
p_japan_departure,11月30日の午前一時に日本を出ます,じゅういちがつさんじゅうにちのごぜんいちじににほんをでます,I will leave Japan at 1:00 AM on November 30.,new,2026-08-26,1,0,,,extracurricular;travel;itinerary,"Built and corrected during ad hoc trip-planning after Lesson 003. Useful real-world message, but intentionally excluded from the main review schedule until explicitly integrated."
p_himeji_maybe,11月16日は姫路に行くかもしれません,じゅういちがつじゅうろくにちはひめじにいくかもしれません,I may go to Himeji on November 16.,new,2026-08-26,1,0,,,extracurricular;travel;uncertainty,"Introduced when the learner clarified that the Himeji plan was tentative. This grammar is ahead of the current planned sequence; keep extracurricular and unscheduled until explicitly integrated."
p_mizu_futatsu_kudasai,水を二つください,みずをふたつください,Two waters please.,learning,2026-08-27,1,1,2026-08-27,2026-08-30,shopping;counters;requests,"Introduced with the general-purpose ～つ counter in Lesson 004 and produced correctly from English on the first attempt."
p_yoyaku_date,予約は何月何日ですか,よやくはなんがつなんにちですか,What date is the reservation?,learning,2026-08-27,1,1,2026-08-27,2026-08-28,dates;questions;reservations,"Introduced in Lesson 004. First attempt used 予約枠 rather than the supplied 予約; the correct topic pattern was then explained. Keep short review."
p_hotel_nannin,ホテルに友達が何人いますか,ほてるにともだちがなんにんいますか,How many friends are at the hotel?,learning,2026-08-27,1,1,2026-08-27,2026-08-28,counters;locations;questions,"Introduced in Lesson 004. First attempt omitted 何人 and asked only whether friends were present; the full question was then produced correctly on retry."
p_sore_nan,それは何ですか,それはなんですか,What is that?,learning,2026-09-01,1,2,2026-09-01,2026-09-03,demonstratives;questions,"Introduced in Lesson 005 to distinguish それ (a thing near the listener) from そこ (a place near the listener). After an early そこ error, the learner correctly produced and understood this pattern."
p_eki_migi_konbini,駅の右にコンビニがあります,えきのみぎにコンビニがあります,There is a convenience store to the right of the station.,learning,2026-09-01,1,2,2026-09-01,2026-09-04,directions;locations;travel,"Introduced in Lesson 005 while activating 右 and the relative-location pattern. Produced correctly multiple times."
p_ano_restaurant_shizuka,あのレストランは静かです,あのレストランはしずかです,That restaurant over there is quiet.,learning,2026-09-01,1,2,2026-09-01,2026-09-04,demonstratives;adjectives;food,"Introduced in Lesson 005 to contrast location existence with describing a demonstratively identified noun. Early practice used あそこにレストランが静かです; the final mastery form was correct."
